Time / sec	Linewidth / MHz
1279.682000	0.052372
1280.683000	0.050281
1281.683000	0.052874
1282.684000	0.054345
1283.685000	0.055391
1284.684000	0.056679
1285.684000	0.056600
1286.683000	0.057705
1287.682000	0.057171
1288.680000	0.059913
1289.679000	0.056239
1290.678000	0.057293
1291.678000	0.057474
1292.677000	0.056647
1293.678000	0.058328
1294.677000	0.056221
1295.676000	0.056740
1296.676000	0.055641
1297.676000	0.054586
1298.675000	0.055634
1299.674000	0.054152
1300.674000	0.055659
1301.674000	0.051856
1302.673000	0.055359
1303.674000	0.053820
1304.674000	0.052962
1305.674000	0.054295
1306.676000	0.054339
1307.675000	0.052670
1308.676000	0.051706
1309.675000	0.050457
1310.675000	0.051273
1311.672000	0.051620
1312.671000	0.050032
1313.671000	0.050493
1314.670000	0.048943
1315.671000	0.050382
1316.670000	0.048994
1317.669000	0.048262
1318.669000	0.048292
1319.670000	0.047823
1320.672000	0.047288
1321.672000	0.048318
1322.671000	0.049455
1323.672000	0.051757
1324.670000	0.051181
1325.671000	0.047688
1326.670000	0.048810
1327.670000	0.046770
1328.672000	0.048633
1329.671000	0.044853
1330.672000	0.047385
1331.674000	0.044616
1332.674000	0.045678
1333.674000	0.043816
1334.676000	0.043546
1335.676000	0.044405
1336.675000	0.044198
1337.677000	0.044906
1338.678000	0.044057
1339.680000	0.043538
1340.681000	0.044088
1341.682000	0.043644
1342.683000	0.045720
1343.683000	0.044937
1344.686000	0.046086
1345.685000	0.046626
1346.685000	0.045160
1347.685000	0.047527
1348.684000	0.044483
1349.686000	0.046351
1350.687000	0.046533
1351.688000	0.046001
1352.689000	0.047732
1353.689000	0.044902
1354.688000	0.047452
1355.687000	0.046797
1356.687000	0.047642
1357.685000	0.046232
1358.684000	0.049797
1359.683000	0.045923
1360.686000	0.047488
1361.687000	0.048342
1362.689000	0.046280
1363.689000	0.045038
1364.691000	0.045381
1365.693000	0.046121
1366.694000	0.043652
1367.694000	0.046026
1368.695000	0.043838
1369.696000	0.048863
1370.697000	0.045732
1371.700000	0.047029
1372.723000	0.048861
1373.725000	0.050032
1374.726000	0.058456
1375.726000	0.055392
1376.726000	0.056824
1377.723000	0.056741
1378.723000	0.056439
1379.722000	0.056764
1380.723000	0.055100
1381.721000	0.052038
1382.722000	0.050243
1383.722000	0.050319
1384.722000	0.048703
1385.724000	0.049828
1386.723000	0.047359
1387.723000	0.047913
1388.725000	0.046794
1389.725000	0.046587
1390.725000	0.047795
1391.724000	0.045877
1392.722000	0.045720
1393.725000	0.045570
1394.727000	0.048142
1395.726000	0.050935
1396.727000	0.048335
1397.727000	0.048744
1398.728000	0.050064
1399.730000	0.045082
1400.732000	0.044337
1401.734000	0.046279
1402.734000	0.045473
1403.735000	0.044404
1404.736000	0.044444
1405.739000	0.043274
1406.741000	0.047947
1407.741000	0.045333
1408.742000	0.044967
1409.744000	0.048458
1410.744000	0.047497
1411.744000	0.048353
1412.742000	0.049907
1413.742000	0.049006
1414.743000	0.048885
