x-axis,1,2,3
second,Volt,Volt,Volt
-1.25812800E+00,-25.08793783E+00,+88.94470E-03,-102.63817E-03
-1.25809600E+00,-24.52261119E+00,+65.70349E-03,-172.98993E-03
-1.25806400E+00,-23.64321418E+00,+85.80399E-03,-80.02511E-03
-1.25803200E+00,-25.65326448E+00,+88.94470E-03,-92.58792E-03
-1.25800000E+00,-26.53266148E+00,+60.05022E-03,-22.23616E-03
-1.25796800E+00,-25.65326448E+00,+65.70349E-03,-115.20099E-03
-1.25793600E+00,-26.53266148E+00,+80.15073E-03,-57.41204E-03
-1.25790400E+00,-25.08793783E+00,+74.49746E-03,-80.02511E-03
-1.25787200E+00,-25.08793783E+00,+65.70349E-03,-92.58792E-03
-1.25784000E+00,-25.65326448E+00,+80.15073E-03,+376.90E-06
-1.25780800E+00,-26.53266148E+00,+85.80399E-03,-57.41204E-03
-1.25777600E+00,-25.65326448E+00,+94.59796E-03,-80.02511E-03
-1.25774400E+00,-27.09798813E+00,+80.15073E-03,-137.81405E-03
-1.25771200E+00,-27.09798813E+00,+80.15073E-03,-92.58792E-03
-1.25768000E+00,-26.53266148E+00,+74.49746E-03,-22.23616E-03
-1.25764800E+00,-25.65326448E+00,+65.70349E-03,-115.20099E-03
-1.25761600E+00,-26.53266148E+00,+74.49746E-03,-125.25124E-03
-1.25758400E+00,-25.08793783E+00,+65.70349E-03,-253.39194E-03
-1.25755200E+00,-25.65326448E+00,+80.15073E-03,-115.20099E-03
-1.25752000E+00,-26.53266148E+00,+85.80399E-03,-57.41204E-03
-1.25748800E+00,-25.65326448E+00,+100.25123E-03,-34.79898E-03
-1.25745600E+00,-26.53266148E+00,+94.59796E-03,-22.23616E-03
-1.25742400E+00,-25.65326448E+00,+80.15073E-03,-115.20099E-03
-1.25739200E+00,-27.09798813E+00,+80.15073E-03,-80.02511E-03
-1.25736000E+00,-27.09798813E+00,+80.15073E-03,-92.58792E-03
-1.25732800E+00,-27.09798813E+00,+85.80399E-03,+376.90E-06
-1.25729600E+00,-26.53266148E+00,+94.59796E-03,-80.02511E-03
-1.25726400E+00,-25.65326448E+00,+85.80399E-03,-137.81405E-03
-1.25723200E+00,-26.53266148E+00,+94.59796E-03,-92.58792E-03
-1.25720000E+00,-25.65326448E+00,+80.15073E-03,+376.90E-06
-1.25716800E+00,-27.09798813E+00,+80.15073E-03,-12.18591E-03
-1.25713600E+00,-27.09798813E+00,+74.49746E-03,+58.16584E-03
-1.25710400E+00,-27.09798813E+00,+65.70349E-03,-80.02511E-03
-1.25707200E+00,-26.53266148E+00,+80.15073E-03,-115.20099E-03
-1.25704000E+00,-25.08793783E+00,+85.80399E-03,-80.02511E-03
-1.25700800E+00,-25.08793783E+00,+100.25123E-03,-137.81405E-03
-1.25697600E+00,-25.65326448E+00,+88.94470E-03,-115.20099E-03
-1.25694400E+00,-25.96733484E+00,+65.70349E-03,-57.41204E-03
-1.25691200E+00,-23.64321418E+00,+85.80399E-03,-57.41204E-03
-1.25688000E+00,-25.65326448E+00,+100.25123E-03,-57.41204E-03
-1.25684800E+00,-27.09798813E+00,+88.94470E-03,-80.02511E-03
-1.25681600E+00,-27.09798813E+00,+71.35676E-03,-115.20099E-03
-1.25678400E+00,-26.53266148E+00,+100.25123E-03,-102.63817E-03
-1.25675200E+00,-25.08793783E+00,+94.59796E-03,-172.98993E-03
-1.25672000E+00,-25.08793783E+00,+80.15073E-03,-80.02511E-03
-1.25668800E+00,-25.65326448E+00,+74.49746E-03,-115.20099E-03
-1.25665600E+00,-27.09798813E+00,+65.70349E-03,-57.41204E-03
-1.25662400E+00,-27.09798813E+00,+74.49746E-03,-57.41204E-03
-1.25659200E+00,-26.53266148E+00,+60.05022E-03,-80.02511E-03
-1.25656000E+00,-25.08793783E+00,+65.70349E-03,-137.81405E-03
-1.25652800E+00,-25.65326448E+00,+85.80399E-03,-115.20099E-03
-1.25649600E+00,-26.53266148E+00,+94.59796E-03,-57.41204E-03
-1.25646400E+00,-25.08793783E+00,+85.80399E-03,-80.02511E-03
-1.25643200E+00,-25.08793783E+00,+88.94470E-03,-115.20099E-03
-1.25640000E+00,-25.08793783E+00,+65.70349E-03,-102.63817E-03
-1.25636800E+00,-25.08793783E+00,+80.15073E-03,-172.98993E-03
-1.25633600E+00,-25.65326448E+00,+85.80399E-03,-80.02511E-03
-1.25630400E+00,-26.53266148E+00,+100.25123E-03,-115.20099E-03
-1.25627200E+00,-25.65326448E+00,+88.94470E-03,-80.02511E-03
-1.25624000E+00,-27.09798813E+00,+65.70349E-03,-115.20099E-03
-1.25620800E+00,-27.09798813E+00,+80.15073E-03,-102.63817E-03
-1.25617600E+00,-26.53266148E+00,+85.80399E-03,-150.37687E-03
-1.25614400E+00,-25.08793783E+00,+88.94470E-03,+376.90E-06
