Time,Channel A,Channel B
(s),(V),(mV)

0.41500002,0.41291540,22.17475000
0.41550002,0.41291540,22.29072000
0.41600002,0.41291540,21.71392000
0.41650002,0.41291540,21.82989000
0.41700002,0.41291540,21.94586000
0.41750002,0.41291540,24.02112000
0.41800002,0.41291540,21.25309000
0.41850002,0.41291540,22.40669000
0.41900002,0.41291540,22.34870000
0.41950002,0.41291540,23.56029000
0.42000002,0.41175570,24.13709000
0.42050002,0.41291540,23.21543000
0.42100002,0.41175570,22.46467000
0.42150002,0.41175570,23.50230000
0.42200002,0.41175570,22.46467000
0.42250002,0.41291540,22.17475000
0.42300002,0.41175570,23.84716000
0.42350002,0.41291540,23.73424000
0.42400002,0.41175570,22.46467000
0.42450002,0.41291540,23.32835000
0.42500002,0.41175570,22.86752000
0.42550002,0.41175570,22.05878000
0.42600002,0.41175570,22.11676000
0.42650002,0.41175570,22.92550000
0.42700002,0.41175570,21.65594000
0.42750002,0.41175570,22.23273000
0.42800002,0.41291540,21.59795000
0.42850002,0.41175570,21.42399000
0.42900002,0.41175570,22.34870000
0.42950002,0.41175570,23.67626000
0.43000002,0.40943630,21.82989000
0.43050002,0.41175570,21.77190000
0.43100002,0.41291540,22.86752000
0.43150002,0.41059600,22.29072000
0.43200002,0.41059600,23.44432000
0.43250002,0.41059600,22.29072000
0.43300002,0.41175570,24.48195000
0.43350002,0.41175570,22.40669000
0.43400002,0.41059600,22.58064000
0.43450002,0.40943630,21.19510000
0.43500002,0.40943630,22.69356000
0.43550002,0.41175570,22.98349000
0.43600002,0.40943630,22.17475000
0.43650002,0.41059600,23.04147000
0.43700002,0.41059600,22.17475000
0.43750002,0.41059600,22.98349000
0.43800002,0.41059600,24.94583000
0.43850002,0.41059600,22.86752000
0.43900002,0.41175570,22.05878000
0.43950002,0.41059600,22.86752000
0.44000002,0.41059600,21.31108000
0.44050002,0.40943630,23.15744000
0.44100002,0.41175570,21.48198000
0.44150002,0.40943630,22.00079000
0.44200002,0.40943630,20.04151000
0.44250002,0.41059600,22.46467000
0.44300002,0.41059600,21.02115000
0.44350002,0.41059600,22.34870000
0.44400002,0.41059600,23.21543000
0.44450002,0.40943630,22.46467000
0.44500002,0.41059600,22.29072000
0.44550002,0.41059600,22.80953000
0.44600002,0.40943630,22.80953000
0.44650002,0.40943630,23.61827000
0.44700002,0.41059600,22.34870000
0.44750002,0.41059600,24.02112000
0.44800002,0.40943630,23.61827000
0.44850002,0.40827660,21.77190000
0.44900002,0.41059600,22.29072000
0.44950002,0.41059600,20.21241000
0.45000002,0.41059600,23.04147000
0.45050002,0.40943630,24.42701000
0.45100002,0.41059600,22.05878000
0.45150002,0.40943630,22.63558000
0.45200002,0.40943630,22.52266000
0.45250002,0.40943630,21.65594000
0.45300002,0.40943630,23.61827000
0.45350002,0.41059600,23.15744000
0.45400002,0.40943630,24.94583000
0.45450002,0.40943630,23.79223000
0.45500002,0.40943630,24.02112000
0.45550002,0.40943630,21.77190000
0.45600002,0.40943630,23.27036000
0.45650002,0.40943630,24.19507000
0.45700002,0.40943630,22.52266000
0.45750002,0.40943630,23.27036000
0.45800002,0.40943630,20.67629000
0.45850002,0.40943630,21.94586000
0.45900002,0.41059600,22.63558000
0.45950002,0.40943630,22.58064000
0.46000002,0.40827660,22.17475000
0.46050002,0.40827660,23.27036000
0.46100002,0.40943630,22.86752000
0.46150002,0.40943630,24.13709000
0.46200002,0.40943630,22.34870000
0.46250002,0.40711690,22.23273000
0.46300002,0.40827660,23.27036000
0.46350002,0.40827660,23.50230000
0.46400002,0.40827660,22.40669000
0.46450002,0.40827660,23.38633000
0.46500002,0.40827660,22.75155000
0.46550002,0.40827660,21.48198000
0.46600002,0.40711690,22.69356000
0.46650002,0.40711690,22.58064000
0.46700002,0.40827660,23.15744000
0.46750002,0.40827660,21.94586000
0.46800002,0.40827660,21.25309000
0.46850002,0.40711690,22.00079000
0.46900002,0.40827660,22.29072000
0.46950002,0.40711690,23.15744000
0.47000002,0.40711690,22.46467000
0.47050002,0.40827660,22.23273000
0.47100002,0.40711690,23.27036000
0.47150002,0.40711690,22.17475000
0.47200002,0.40711690,22.00079000
0.47250002,0.40827660,20.96317000
0.47300002,0.40589620,20.67629000
0.47350002,0.40711690,22.92550000
0.47400002,0.40711690,23.09946000
0.47450002,0.40711690,24.07910000
